"Table 1. Average Annual Family Income, by Per Capita Income Decile Class and by Region, Province and HUCs: 2018, 2021 and 2023p",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region/Province/HUC,2018,,,,,,,,,,,2021,,,,,,,,,,,2023,,,,,,,,,,,Percent Change (2018 to 2021),,,,,,,,,,,Percent Change (2021 to 2023),,,,,,,,,,
,(In thousands),,,,,,,,,,,(In thousands),,,,,,,,,,,(In thousands),,,,,,,,,,,(In percent),,,,,,,,,,,(In percent),,,,,,,,,,
,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHILIPPINES,313.45,113.58,144.45,168.16,197.33,225.1,262.6,308.34,370.83,475.95,867.63,307.19,116.02,152.14,175.86,202.66,227.68,261.78,302.94,361.62,457.16,813.91,353.23,143.28,182.61,208.43,241.18,272.09,308.69,351.73,416.23,512.54,895.47,-2,2.2,5.3,4.6,2.7,1.2,-0.3,-1.8,-2.5,-4,-6.2,15,23.5,20,18.5,19,19.5,17.9,16.1,15.1,12.1,10
City of Taguig,428.62,215.52,280.22,323.09,333.58,356.2,417.32,482.81,524.36,535.51,818.99,376.13,202.38,258.41,273.91,313.18,314.5,347.53,398.34,423.54,512.56,714.71,519.6,235.87,299.77,355.25,380.27,407.2,489.41,501.67,593,653.55,1274.85,-12.3,-6.1,-7.8,-15.2,-6.1,-11.7,-16.7,-17.5,-19.2,-4.3,-12.7,38.1,16.6,16,29.7,21.4,29.5,40.8,25.9,40,27.5,78.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAR - CORDILLERA ADMINISTRATIVE REGION,353.92,119.57,157.9,186.87,206.44,235.46,284.99,343.25,410.48,553.14,1040.8,350.43,140.08,179.6,206.24,229.97,256.08,291.71,328.13,393.7,510.59,966.96,359.24,176.56,216.08,243.82,267.08,285.25,337.87,378.64,436.72,494.85,755.17,-1,17.2,13.7,10.4,11.4,8.8,2.4,-4.4,-4.1,-7.7,-7.1,2.5,26,20.3,18.2,16.1,11.4,15.8,15.4,10.9,-3.1,-21.9
Abra,237.61,92.9,124.43,137.54,152.19,190.83,197.32,214.8,275.54,347.01,643.92,264.59,120.57,144.68,157.42,187.11,192.75,212.4,232.9,270.11,370.81,754.42,274.21,141.39,182.15,191.33,214.83,230.19,230.69,265.72,290.61,359.89,633.86,11.4,29.8,16.3,14.5,22.9,1,7.6,8.4,-2,6.9,17.2,3.6,17.3,25.9,21.6,14.8,19.4,8.6,14.1,7.6,-2.9,-16
Benguet (Excluding City of Baguio),355.21,122.27,170.97,198.27,222.64,265.38,293.23,332.4,397.8,513.77,1035.71,324.49,131.46,172.53,201.44,230.92,238.7,278.13,315.45,364.29,449.55,860.75,342.89,170.18,219.84,254.11,273.26,295.91,344.34,380.32,405.45,453.75,630.13,-8.7,7.5,0.9,1.6,3.7,-10.1,-5.2,-5.1,-8.4,-12.5,-16.9,5.7,29.5,27.4,26.2,18.3,24,23.8,20.6,11.3,0.9,-26.8
City of Baguio,499.48,170.29,232.25,275.61,351.04,410.35,443.98,476.98,645.3,727.66,1261.29,454.47,189.45,256.43,297.06,335.22,348.73,377.34,456.29,517.12,593.68,1171.67,443.2,243.48,287.23,347.61,385.73,400.65,451.94,496.52,547.66,517.46,751.3,-9,11.3,10.4,7.8,-4.5,-15,-15,-4.3,-19.9,-18.4,-7.1,-2.5,28.5,12,17,15.1,14.9,19.8,8.8,5.9,-12.8,-35.9
Ifugao,313.07,144.33,171.68,202.64,200.6,199.87,243.5,276.36,320.75,465.62,906.82,329.24,142.27,190.91,196.84,233.46,239.5,277.22,308.64,367.95,489.57,843.82,322.19,177.07,211.39,234.06,225.87,246.5,257.15,273.64,321.44,421.35,850.94,5.2,-1.4,11.2,-2.9,16.4,19.8,13.9,11.7,14.7,5.1,-7,-2.1,24.5,10.7,18.9,-3.3,2.9,-7.2,-11.3,-12.6,-13.9,0.8
Kalinga,363.39,137.81,171.46,194.33,220.59,234.71,257.17,315.12,393.48,511.23,1197.75,409.66,161.54,195.49,233.69,245.09,259.93,289.47,377.31,448.79,573.31,1309.03,391.39,216.06,243.97,268.44,292.2,300.76,335.45,388.51,406.48,533.41,925.77,12.7,17.2,14,20.3,11.1,10.7,12.6,19.7,14.1,12.1,9.3,-4.5,33.8,24.8,14.9,19.2,15.7,15.9,3,-9.4,-7,-29.3
Mountain Province,254.56,116.16,132.25,147.68,158.79,172.61,183.25,201.73,282.99,367.13,783.91,274.43,133.08,164.24,176.71,191.52,201.07,219.07,247.78,286.14,355.71,766.74,312.73,183.62,199.61,219.17,225.96,240.57,243.26,304.38,338.53,430.37,739.74,7.8,14.6,24.2,19.7,20.6,16.5,19.6,22.8,1.1,-3.1,-2.2,14,38,21.5,24,18,19.7,11,22.8,18.3,21,-3.5
Apayao,250.23,90.7,124.04,140.24,157.79,171.06,190.07,213.4,261.93,358.8,794.08,307.15,144.65,179.9,193.91,216.93,227.6,247.81,259.16,305.86,428.85,864.43,374.14,172.98,196.34,212.61,233.91,257.58,259.02,351.24,391.36,494.63,1162.24,22.8,59.5,45,38.3,37.5,33.1,30.4,21.4,16.8,19.5,8.9,21.8,19.6,9.1,9.6,7.8,13.2,4.5,35.5,28,15.3,34.5
